Job Title,Company Name,Location,Experience (Years),Min Experience,Max Experience,Experiencia Media,Rango Experiencia,Num Ubicaciones,Oferta Exterior,Nivel Titulo,exterior,num_ubic,nivel_medio,nivel_senior
"Software Delivery Manager , Senior Software Engineer",Peopleplease Consulting,Mumbai,3 - 8 Years,3,8,5.5,5,1,False,senior,0,1,0,1
Python Internship in Ahmedabad,Maxgen Technologies,"Ahmedabad, Bhavnagar, Junagarh, Rajkot, Surendranagar",0 - 1 Years,0,1,0.5,1,5,False,junior,0,5,0,0
".net Developer , Software Engineer",SHREE ADISHAKTHI CONSULTANCY,Bengaluru / Bangalore,4 - 6 Years,4,6,5.0,2,1,False,medio,0,1,1,0
Brand Representative,Echobooom Management & Entrepreneurial Solutions Pvt.Ltd.,Guwahati,0 - 2 Years,0,2,1.0,2,1,False,medio,0,1,1,0
Human resources manager,Sarosh Karki,"Bangladesh, Nepal, Pakistan, Philippines",10 - 15 Years,10,15,12.5,5,4,False,senior,0,4,0,1
Business Development Manager,Suhail Nizamuddin shaikh,"Hyderabad/Secunderabad, Kolkata, Mumbai, Noida/Greater Noida, Pune",5 - 10 Years,5,10,7.5,5,5,False,senior,0,5,0,1
Radiologist,Space COnsultant,Other City(s) in Kerala,1 - 6 Years,1,6,3.5,5,1,False,medio,0,1,1,0
Unit Sales Manager / Uttrakhand,TEKPILLAR SERVICES PRIVATE LIMITED,"Dehradun, Haldwani, Haridwar, Nainital, Other City(s) in Uttaranchal",2 - 5 Years,2,5,3.5,3,5,False,senior,0,5,0,1
92433 - Java Full Stack Lead Developer,TALPRO INDIA PRIVATE LIMITED,Bengaluru / Bangalore,5 - 15 Years,5,15,10.0,10,1,False,senior,0,1,0,1
Java Developer  ( 4-8 Yrs )  - J48512,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,4 - 6 Years,4,6,5.0,2,1,False,medio,0,1,1,0
Hardware  Engineer  Job In UAE,World wide Immigration Service Llp,Unknown,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Software Engineer  Job In UAE,World wide Immigration Service Llp,Unknown,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Logistic Manager Job In GERMANY,ADAL IMMIGRATIONS LLP,Germany,4 - 8 Years,4,8,6.0,4,1,True,senior,1,1,0,1
Azure Devops + Azure Cloud,Vividhataa,Navi Mumbai,7 - 12 Years,7,12,9.5,5,1,False,medio,0,1,1,0
MEP Technician,ASMACS,Dubai,5 - 8 Years,5,8,6.5,3,1,True,medio,1,1,1,0
NAV / BC Operations Functional Consultant  ( Fresher )  - J48500,SAMPOORNA CONSULTANTS PVT LTD,Pune,0 - 3 Years,0,3,1.5,3,1,False,junior,0,1,0,0
Abroad job Opportunity Computer Engineer,Anshi Immigration Private Limited,Canada,4 - 9 Years,4,9,6.5,5,1,True,medio,1,1,1,0
"Software Developer , Senior Software Developer",Anshi Immigration Private Limited,Canada,3 - 8 Years,3,8,5.5,5,1,True,senior,1,1,0,1
Developer :c ++with linux Bangalore Job,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,5 - 10 Years,5,10,7.5,5,1,False,medio,0,1,1,0
MIS Executive | Senior MIS Analyst  Job In CANADA,PRIMEX IMMIGRATION LLP,Canada,5 - 10 Years,5,10,7.5,5,1,True,senior,1,1,0,1
Research and Development Executive,One World,"Delhi/NCR, Gurgaon",5 - 10 Years,5,10,7.5,5,2,False,medio,0,2,1,0
Site Engineer Jobs in Germany,TALENT VAULT LLP,"Australia, Canada, New Zealand, Singapore",2 - 7 Years,2,7,4.5,5,4,True,medio,1,4,1,0
Application Specialist,SKYWALK VISA IMMIGRATION SERVICES LLP,"Australia, Singapore",2 - 7 Years,2,7,4.5,5,2,True,medio,1,2,1,0
ABAP Programmer,Aadis Jobs,Agra,3 - 8 Years,3,8,5.5,5,1,False,medio,0,1,1,0
PHP Developer Job In   CANADA,PRIMEX IMMIGRATION LLP,Canada,6 - 11 Years,6,11,8.5,5,1,True,medio,1,1,1,0
Software Engineer Job In GERMANY,ADAL IMMIGRATIONS LLP,Germany,7 - 12 Years,7,12,9.5,5,1,True,medio,1,1,1,0
Android Intership in Ahmedabad,Maxgen Technologies,"Ahmedabad, Bhavnagar, Junagarh, Rajkot, Surendranagar",0 - 1 Years,0,1,0.5,1,5,False,medio,0,5,1,0
Automation Tester  ( 3-5 Yrs )  - J48531,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,3 - 5 Years,3,5,4.0,2,1,False,medio,0,1,1,0
RIGGER,ASMACS,Other City(s) in Saudi Arabia,5 - 7 Years,5,7,6.0,2,1,True,medio,1,1,1,0
Sales  Manager  Job In  GERMANY,World wide Immigration Service Llp,Germany,5 - 10 Years,5,10,7.5,5,1,True,senior,1,1,0,1
Senior Executive - SAP SD - J48495,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,3 - 6 Years,3,6,4.5,3,1,False,senior,0,1,0,1
Site  Engineer  Job In  GERMANY,World wide Immigration Service Llp,Germany,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Software Engineer  Job In GERMANY,World wide Immigration Service Llp,Germany,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
"HR Recruiter ,  2 To 4 Years In Mumbai  ( Worli )",Mangalam Placments Pvt. ltd.,Mumbai,2 - 4 Years,2,4,3.0,2,1,False,medio,0,1,1,0
Doctor  Job In LUXEMBOURG,World wide Immigration Service Llp,Unknown,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Teamcenter Technical Architect,Techno Wise,"Bengaluru / Bangalore, Pune",12 - 15 Years,12,15,13.5,3,2,False,senior,0,2,0,1
network and harware executive,Resource Power Consultancy,Kolkata,2 - 3 Years,2,3,2.5,1,1,False,medio,0,1,1,0
Data Science Internship in Pune,Maxgen Technologies,"Pune, Jalgaon, Kolhapur, Nasik, Solapur",0 - 1 Years,0,1,0.5,1,5,False,junior,0,5,0,0
Lead Java  AWS Developer,TALPRO INDIA PRIVATE LIMITED,Bengaluru / Bangalore,5 - 15 Years,5,15,10.0,10,1,False,senior,0,1,0,1
Network  Engineer Job In NEW ZEALAND,World wide Immigration Service Llp,New Zealand,4 - 8 Years,4,8,6.0,4,1,True,medio,1,1,1,0
FP & A Functional Consultant – Temenos T24,Best Infosystems Ltd.,Bengaluru / Bangalore,5 - 10 Years,5,10,7.5,5,1,False,medio,0,1,1,0
Innovation Engineer  ( Gen AI )  - BLR - AM - J48523,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,7 - 10 Years,7,10,8.5,3,1,False,medio,0,1,1,0
Site engineer,Sudeep Consultancy,"Ahmedabad, Vadodara, Mumbai, Nasik, Pune",1 - 5 Years,1,5,3.0,4,5,False,medio,0,5,1,0
Analytical Research development -Documentation- ARD,US,Mumbai,3 - 7 Years,3,7,5.0,4,1,False,medio,0,1,1,0
Android Developer - J48517,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,5 - 7 Years,5,7,6.0,2,1,False,medio,0,1,1,0
Web development Internship in Ahmedabad,Maxgen Technologies,"Ahmedabad, Anand, Gandhinagar, Mehsana, Surat",0 - 1 Years,0,1,0.5,1,5,False,junior,0,5,0,0
"""Full Stack Java Developer""",SHREE ADISHAKTHI CONSULTANCY,"Bengaluru / Bangalore, Chennai, Mumbai, Pune",5 - 8 Years,5,8,6.5,3,4,False,medio,0,4,1,0
Purchase  Manager  Job In ABROAD,World wide Immigration Service Llp,"Canada, Singapore",2 - 7 Years,2,7,4.5,5,2,True,senior,1,2,0,1
Network  Engineer Job In UAE,World wide Immigration Service Llp,Unknown,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
"Sales  &  Marketing , Sales Adviser , Sales Executive , Business Advisor",Acme Human Management,"Delhi, Noida/Greater Noida, Ghaziabad, Mathura, Meerut",1 - 5 Years,1,5,3.0,4,5,False,medio,0,5,1,0
SAP Project Manager,eSkillport HR Services Pvt. Ltd,Kolkata,12 - 15 Years,12,15,13.5,3,1,False,senior,0,1,0,1
Factory Manager Operation Head Garments Textile,Suman kumar,"Delhi/NCR, Mumbai, Surat, Aurangabad, Ludhiana",10 - 15 Years,10,15,12.5,5,5,False,senior,0,5,0,1
Human Resource Manager,MIGPOINT SERVICES,"Delhi, Delhi/NCR, Gurgaon",2 - 5 Years,2,5,3.5,3,3,False,senior,0,3,0,1
Accounts Executive Direct Taxation,Ample Leap Cognition,Faridabad,3 - 8 Years,3,8,5.5,5,1,False,medio,0,1,1,0
Full Stack developer Node JS and React - J48503,SAMPOORNA CONSULTANTS PVT LTD,Pune,6 - 10 Years,6,10,8.0,4,1,False,medio,0,1,1,0
PHP Developer Job In MALTA,PRIMEX IMMIGRATION LLP,Unknown,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Hardware Engineer  Job In  MALTA,ADAL IMMIGRATIONS LLP,Unknown,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Gynecologist vacancy at Nagpur  ( Mahaashtra ),Space COnsultant,Nagpur,1 - 6 Years,1,6,3.5,5,1,False,medio,0,1,1,0
Cashier Job In AUSTRALIA,ADAL IMMIGRATIONS LLP,Australia,4 - 8 Years,4,8,6.0,4,1,True,medio,1,1,1,0
HVAC  Engineer  Job In GERMANY,World wide Immigration Service Llp,Germany,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Financial Advisor   Job In GERMANY,World wide Immigration Service Llp,Germany,4 - 8 Years,4,8,6.0,4,1,True,medio,1,1,1,0
Physician   Job In GERMANY,World wide Immigration Service Llp,Germany,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Front Office Executive  Job In GERMANY,World wide Immigration Service Llp,Germany,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Network  Engineer  Job In GERMANY,World wide Immigration Service Llp,Germany,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Specialist - Software Engineering,LTIMindtree Ltd.,Pune,7 - 10 Years,7,10,8.5,3,1,False,medio,0,1,1,0
Java Kotlin-Senior Specialist - Software Engineering,LTIMindtree Ltd.,Gurgaon,6 - 9 Years,6,9,7.5,3,1,False,senior,0,1,0,1
Senior Software Engineer QA Automation - J48489,SAMPOORNA CONSULTANTS PVT LTD,Pune,6 - 8 Years,6,8,7.0,2,1,False,senior,0,1,0,1
UX | UI Designer Job In POLAND,EXOTIC EXPERT SOLUTIONS LLP,Unknown,4 - 8 Years,4,8,6.0,4,1,True,medio,1,1,1,0
Web Designer  Job  In NEW ZEALAND,PRIMEX IMMIGRATION LLP,New Zealand,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
VMC Programmer,Corporate destination,Noida/Greater Noida,4 - 9 Years,4,9,6.5,5,1,False,medio,0,1,1,0
NAV / BC Operations Functional Consultant - J47015,SAMPOORNA CONSULTANTS PVT LTD,Pune,8 - 13 Years,8,13,10.5,5,1,False,medio,0,1,1,0
"Developer VBA Automation ,  SAP Scripting ,  Python  RPA  Bangalore",White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,4 - 8 Years,4,8,6.0,4,1,False,medio,0,1,1,0
Manager Facilities  &  Administration  ( Only Ex-Servicemen ),Suman kumar,"Delhi/NCR, Kolkata, Ranchi, Jaipur, Lucknow",10 - 15 Years,10,15,12.5,5,5,False,senior,0,5,0,1
Import / Export Agent,Pdm Extrusions Private Limited,Delhi,2 - 4 Years,2,4,3.0,2,1,False,medio,0,1,1,0
Cyber Security Training In Ahmedabad,Sparks To Ideas,"Ahmedabad, Bhavnagar, Botad, Junagarh, Rajkot",0 - 1 Years,0,1,0.5,1,5,False,medio,0,5,1,0
Platform Engineering: Azure DevOps Engineer,TALPRO INDIA PRIVATE LIMITED,Bengaluru / Bangalore,5 - 15 Years,5,15,10.0,10,1,False,medio,0,1,1,0
Workday Adaptive Planning - Consultant - BLR - J48486,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,4 - 7 Years,4,7,5.5,3,1,False,medio,0,1,1,0
Python internship in Ahmedabad,Maxgen Technologies,"Ahmedabad, Anand, Gandhinagar, Mehsana, Surat",0 - 1 Years,0,1,0.5,1,5,False,junior,0,5,0,0
Automation Tester  ( 1-3 Yrs )  - J48530,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,1 - 3 Years,1,3,2.0,2,1,False,medio,0,1,1,0
Director Business Management,Sarosh Karki,"Nepal, Singapore, South Africa, South Korea",10 - 15 Years,10,15,12.5,5,4,True,senior,1,4,0,1
"""Accounts executive"" , Accountant , Assistant Accountant",Acme Human Management,"Delhi, Delhi/NCR",2 - 5 Years,2,5,3.5,3,2,False,medio,0,2,1,0
"""Account Manager""",Job Classify,Mumbai,3 - 7 Years,3,7,5.0,4,1,False,senior,0,1,0,1
"( MS )  , Ophthalmology",Space COnsultant,Other City(s) in Karnataka,0 - 3 Years,0,3,1.5,3,1,False,medio,0,1,1,0
"Sales And Business Development Executive ,  in Gujarat",Mangalam Placments Pvt. ltd.,Other City(s) in Gujarat,2 - 5 Years,2,5,3.5,3,1,False,medio,0,1,1,0
""" Computer Operator""",PUNYAM ACADEMY PRIVATE LIMITED,Ahmedabad,0 - 3 Years,0,3,1.5,3,1,False,medio,0,1,1,0
"""Admin Officer""",Etrust Travel & Placements Pvt Ltd,Unknown,4 - 9 Years,4,9,6.5,5,1,False,medio,0,1,1,0
Java Tech Lead,Maven Workforce Pvt. Ltd.,"Bengaluru / Bangalore, Pune, Bhubaneshwar",4 - 9 Years,4,9,6.5,5,3,False,senior,0,3,0,1
Software Engineer Job In UAE,PRIMEX IMMIGRATION LLP,Unknown,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Software Engineer  Job In AUSTRALIA,World wide Immigration Service Llp,Australia,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Network  Engineer  Job In AUSTRALIA,World wide Immigration Service Llp,Australia,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
UX | UI Designer Job In GERMANY,EXOTIC EXPERT SOLUTIONS LLP,Germany,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
SQL AND ORACLE DATABASE DEVELOPER,Advance Consultancy Services,Other City(s) in Saudi Arabia,6 - 8 Years,6,8,7.0,2,1,True,medio,1,1,1,0
Java Lead - Gurgaon - J48484,SAMPOORNA CONSULTANTS PVT LTD,Gurgaon,8 - 12 Years,8,12,10.0,4,1,False,senior,0,1,0,1
Hardware Engineer Job In NEW ZEALAND,ADAL IMMIGRATIONS LLP,New Zealand,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Java Fullstack  ( UI Heavy )  -P8 - J48372,SAMPOORNA CONSULTANTS PVT LTD,Hyderabad/Secunderabad,15 - 18 Years,15,18,16.5,3,1,False,medio,0,1,1,0
Network Engineer Job In GERMANY,ADAL IMMIGRATIONS LLP,Germany,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Machine learning Internship in Ahmedabad,Maxgen Technologies,"Ahmedabad, Bhavnagar, Junagarh, Rajkot, Surendranagar",0 - 1 Years,0,1,0.5,1,5,False,junior,0,5,0,0
Data Engineer - J48492,SAMPOORNA CONSULTANTS PVT LTD,Pune,3 - 4 Years,3,4,3.5,1,1,False,medio,0,1,1,0
MIS Executive | Senior MIS Analyst  Job In GERMANY,PRIMEX IMMIGRATION LLP,Germany,3 - 8 Years,3,8,5.5,5,1,True,senior,1,1,0,1
Sales  Manager  Job In DUBAI,World wide Immigration Service Llp,Dubai,2 - 7 Years,2,7,4.5,5,1,True,senior,1,1,0,1
Nephrologist,Space COnsultant,Other City(s) in Punjab,1 - 6 Years,1,6,3.5,5,1,False,medio,0,1,1,0
React js Internship in Ahmedabad,Maxgen Technologies,"Ahmedabad, Anand, Gandhinagar, Mehsana, Surat",0 - 1 Years,0,1,0.5,1,5,False,junior,0,5,0,0
Data Science Internship in Ahmedabad,Maxgen Technologies,"Ahmedabad, Anand, Gandhinagar, Mehsana, Surat",0 - 1 Years,0,1,0.5,1,5,False,junior,0,5,0,0
Fullstak Developer,SHREE ADISHAKTHI CONSULTANCY,"Bengaluru / Bangalore, Chennai, Mumbai, Pune",4 - 6 Years,4,6,5.0,2,4,False,medio,0,4,1,0
QA /  QC Engineer Jobs in Dubai,TALENT VAULT LLP,"Australia, Canada, New Zealand, Singapore",3 - 8 Years,3,8,5.5,5,4,True,medio,1,4,1,0
UX | UI Designer  Job In QATAR,EXOTIC EXPERT SOLUTIONS LLP,Other City(s) in Qatar,4 - 8 Years,4,8,6.0,4,1,True,medio,1,1,1,0
Salesforce Administrator - J48278,SAMPOORNA CONSULTANTS PVT LTD,Chennai,3 - 5 Years,3,5,4.0,2,1,False,medio,0,1,1,0
Network Engineer Job In  GERMANY,PRIMEX IMMIGRATION LLP,Germany,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
PHP Developer Job In  GERMANY,PRIMEX IMMIGRATION LLP,Germany,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Software Engineer Job In UAE,ADAL IMMIGRATIONS LLP,Unknown,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Network  Engineer  Job In Dubai,World wide Immigration Service Llp,Dubai,2 - 7 Years,2,7,4.5,5,1,True,medio,1,1,1,0
MIS Executive Job in USA,CLOUD VISA IMMIGRATION LLP,Unknown,3 - 7 Years,3,7,5.0,4,1,True,medio,1,1,1,0
Hardware Engineer Job in USA,CLOUD VISA IMMIGRATION LLP,Unknown,3 - 7 Years,3,7,5.0,4,1,True,medio,1,1,1,0
Hardware Engineer Job  In GERMANY,ADAL IMMIGRATIONS LLP,Germany,4 - 8 Years,4,8,6.0,4,1,True,medio,1,1,1,0
QA | QC Engineer  Job In GULF,World wide Immigration Service Llp,"Abu Dhabi, Dubai",4 - 8 Years,4,8,6.0,4,2,True,medio,1,2,1,0
Java Lead - J48482,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,8 - 12 Years,8,12,10.0,4,1,False,senior,0,1,0,1
ABAP TOWER LEAD,eSkillport HR Services Pvt. Ltd,Kolkata,15 - 20 Years,15,20,17.5,5,1,False,senior,0,1,0,1
Adobe Campaign Developer,LTIMindtree Ltd.,Navi Mumbai,3 - 6 Years,3,6,4.5,3,1,False,medio,0,1,1,0
Emergency Medicine Doctor  Job In GERMANY,World wide Immigration Service Llp,Germany,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Java Kotlin- Senior Specialist - Software Engineering,LTIMindtree Ltd.,Gurgaon,8 - 12 Years,8,12,10.0,4,1,False,senior,0,1,0,1
Senior Software Engineer Manual QA Engineer - J48490,SAMPOORNA CONSULTANTS PVT LTD,Pune,6 - 8 Years,6,8,7.0,2,1,False,senior,0,1,0,1
Flutter Internship in Ahmedabad,Maxgen Technologies,"Ahmedabad, Bhavnagar, Junagarh, Rajkot, Surendranagar",0 - 1 Years,0,1,0.5,1,5,False,junior,0,5,0,0
D365 F and O Finance Functional Consultant  ( Mid to Sr. )  - J48499,SAMPOORNA CONSULTANTS PVT LTD,Pune,5 - 9 Years,5,9,7.0,4,1,False,senior,0,1,0,1
"Telecaller Jobs Opening at International Airport ,  Bangalore",Akash A,"Bengaluru / Bangalore, Belgaum, Bellary, Gulbarga, Mysoru / Mysore",0 - 3 Years,0,3,1.5,3,5,False,junior,0,5,0,0
Hardware Engineer Job In UAE,ADAL IMMIGRATIONS LLP,Unknown,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Network Engineer Jobs in Gulf,TALENT VAULT LLP,"Australia, Canada, New Zealand, Singapore",3 - 8 Years,3,8,5.5,5,4,True,medio,1,4,1,0
FMCG   Manager  Job In DUBAI,World wide Immigration Service Llp,Dubai,3 - 8 Years,3,8,5.5,5,1,True,senior,1,1,0,1
"Marketing Executive , Direct Marketing Executive / Officer , Sales",ASSOCIATIVE,Pune,0 - 1 Years,0,1,0.5,1,1,False,medio,0,1,1,0
"Business Development Executive , Sales  &  Marketing , Sales Executive",ASSOCIATIVE,Pune,0 - 1 Years,0,1,0.5,1,1,False,medio,0,1,1,0
"Digital Marketing Executive , Marketing Executive",ASSOCIATIVE,Pune,0 - 1 Years,0,1,0.5,1,1,False,medio,0,1,1,0
React Js Internship At Ahmedabad,Maxgen Technologies,"Ahmedabad, Anand, Gandhinagar, Mehsana, Surat",0 - 1 Years,0,1,0.5,1,5,False,junior,0,5,0,0
Angular Developer  ( 4-6 Yrs )  - J48533,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,4 - 6 Years,4,6,5.0,2,1,False,medio,0,1,1,0
Assistant Manager - SAP SD - J48496,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,6 - 9 Years,6,9,7.5,3,1,False,senior,0,1,0,1
Human Resource Manager  Job In CANADA,World wide Immigration Service Llp,Canada,4 - 8 Years,4,8,6.0,4,1,True,senior,1,1,0,1
FMCG   Manager  Job In AUSTRALIA,World wide Immigration Service Llp,Australia,5 - 10 Years,5,10,7.5,5,1,True,senior,1,1,0,1
PHP Developer Job In  POLAND,PRIMEX IMMIGRATION LLP,Unknown,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Quantitative Trader - J48242B,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,2 - 5 Years,2,5,3.5,3,1,False,medio,0,1,1,0
UX | UI Designer Job In DUBAI,EXOTIC EXPERT SOLUTIONS LLP,Dubai,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Software Deve Cloud Gaming  Data Engineering ERP QA Auto Jobs,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,5 - 10 Years,5,10,7.5,5,1,False,medio,0,1,1,0
Hotel Manager Jobs In  GERMANY,PRIMEX IMMIGRATION LLP,Germany,3 - 8 Years,3,8,5.5,5,1,True,senior,1,1,0,1
Financial Advisor   Job In USA,World wide Immigration Service Llp,Unknown,5 - 8 Years,5,8,6.5,3,1,True,medio,1,1,1,0
QA / QC Engineer Job in Dubai,CLOUD VISA IMMIGRATION LLP,Dubai,3 - 7 Years,3,7,5.0,4,1,True,medio,1,1,1,0
Service Engineer,Waytogo Consultants Pvt Ltd,Bengaluru / Bangalore,1 - 4 Years,1,4,2.5,3,1,False,medio,0,1,1,0
Data Scientist Job in Canada,EXOTIC EXPERT SOLUTIONS LLP,Canada,3 - 7 Years,3,7,5.0,4,1,True,medio,1,1,1,0
Software Engineer Jobs in  Abroad,TALENT VAULT LLP,"Australia, Canada, New Zealand, Singapore",3 - 8 Years,3,8,5.5,5,4,True,medio,1,4,1,0
Lead Platform Engineer  ( Azure Kubernetes Services ),TALPRO INDIA PRIVATE LIMITED,Bengaluru / Bangalore,5 - 15 Years,5,15,10.0,10,1,False,senior,0,1,0,1
Software Engineer Hiring For AUSTRALIA,ADAL IMMIGRATIONS LLP,Australia,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Hardware Engineer Hiring For AUSTRALIA,ADAL IMMIGRATIONS LLP,Australia,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Hardware  Engineer  Job In USA,World wide Immigration Service Llp,Unknown,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
"ERP Software Engineer , Software Developer",ExponentJobs,Unknown,5 - 9 Years,5,9,7.0,4,1,False,medio,0,1,1,0
Network  Engineer  Job In  GULF,World wide Immigration Service Llp,"Abu Dhabi, Dubai",4 - 8 Years,4,8,6.0,4,2,True,medio,1,2,1,0
Required HR Manager,Sparks To Ideas,Ahmedabad,0 - 1 Years,0,1,0.5,1,1,False,senior,0,1,0,1
Electrical Testing Technician,ASMACS,Other City(s) in Saudi Arabia,3 - 5 Years,3,5,4.0,2,1,True,medio,1,1,1,0
Radiologist,Space COnsultant,Agra,1 - 6 Years,1,6,3.5,5,1,False,medio,0,1,1,0
Procurement  Manager  Job In ABROAD,World wide Immigration Service Llp,"Canada, Singapore",2 - 7 Years,2,7,4.5,5,2,True,senior,1,2,0,1
Sr. Executive  /  Asst. Manager  ( Apparel Sales )  @ Sunrise,Space COnsultant,"Bengaluru / Bangalore, Chennai, Delhi, Mumbai",4 - 9 Years,4,9,6.5,5,4,False,senior,0,4,0,1
SAP FI Application Lead,eSkillport HR Services Pvt. Ltd,Kolkata,8 - 10 Years,8,10,9.0,2,1,False,senior,0,1,0,1
Audience Platform Lead- Salesforce Data Cloud - J48483,SAMPOORNA CONSULTANTS PVT LTD,"Bengaluru / Bangalore, Gurgaon, Mumbai, Pune",7 - 10 Years,7,10,8.5,3,4,False,senior,0,4,0,1
Carpenter,ASMACS,Dubai,3 - 5 Years,3,5,4.0,2,1,True,medio,1,1,1,0
c# Developer - J48502,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,3 - 6 Years,3,6,4.5,3,1,False,medio,0,1,1,0
Golang Developer - J48509,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,2 - 4 Years,2,4,3.0,2,1,False,medio,0,1,1,0
Network Engineer,Sunbridge Solutions  Opc Private Limited,"Germany, Ireland, Netherlands, New Zealand, Singapore",2 - 7 Years,2,7,4.5,5,5,True,medio,1,5,1,0
Software Engineer Job In NEW ZEALAND,ADAL IMMIGRATIONS LLP,New Zealand,4 - 8 Years,4,8,6.0,4,1,True,medio,1,1,1,0
Oracle CC & B Techno / Functional Consultant For Immediate joining,White Horse Manpower Consultancy P Ltd,Other City(s) in Saudi Arabia,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
CONSULTANT - SAP BUSINESS ONE,Options & Ideas,Kolkata,6 - 11 Years,6,11,8.5,5,1,False,medio,0,1,1,0
"""Chartered Accountant"" , C.A. , CA",Next Step Associates,Unknown,2 - 4 Years,2,4,3.0,2,1,False,medio,0,1,1,0
MANAGER – PLANNING  &  BILLING,Suman kumar,"Delhi/NCR, Hyderabad/Secunderabad, Kolkata, Pune, Lucknow",15 - 20 Years,15,20,17.5,5,5,False,senior,0,5,0,1
Marketing Analyst - Remote - US Market,EDGESYS INC.,"Bengaluru / Bangalore, Delhi/NCR, Mumbai, Noida/Greater Noida, Pune",4 - 9 Years,4,9,6.5,5,5,False,medio,0,5,1,0
Java Kotlin-Senior Specialist - Software Engineering,LTIMindtree Ltd.,Gurgaon,8 - 12 Years,8,12,10.0,4,1,False,senior,0,1,0,1
Software  Engineer  Required In ABROAD,World wide Immigration Service Llp,"Dubai, Canada, Germany",2 - 7 Years,2,7,4.5,5,3,True,medio,1,3,1,0
"""Angular Developer"" , Software Developer",SHREE ADISHAKTHI CONSULTANCY,Bengaluru / Bangalore,5 - 8 Years,5,8,6.5,3,1,False,medio,0,1,1,0
Power Platform Developer,D B Consultancy,"Bengaluru / Bangalore, Pune",5 - 10 Years,5,10,7.5,5,2,False,medio,0,2,1,0
"Finance Manager , Jobs in Abroad",TALENT VAULT LLP,"Australia, Canada, New Zealand, Singapore",3 - 8 Years,3,8,5.5,5,4,True,senior,1,4,0,1
Store Head,Ample Leap Cognition,"Chennai, Hosur, Other City(s) in Tamil Nadu",11 - 15 Years,11,15,13.0,4,3,False,senior,0,3,0,1
Admin Manager  Job In HONG KONG,PRIMEX IMMIGRATION LLP,Hong Kong,5 - 10 Years,5,10,7.5,5,1,True,senior,1,1,0,1
Network  Engineer  Job In  NEW ZEALAND,World wide Immigration Service Llp,New Zealand,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Network Engineer   Job In POLAND,EXOTIC EXPERT SOLUTIONS LLP,Unknown,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Network Engineer Job In USA,ADAL IMMIGRATIONS LLP,Unknown,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
