Job Title,Company Name,Location,Experience (Years),Min Experience,Max Experience,Experiencia Media,Rango Experiencia,Num Ubicaciones,Oferta Exterior
SAP Time Off- Software Engineering Professional - J48438,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,3 - 8 Years,3,8,5.5,5,1,False
SAP Business one,Options & Ideas,Kolkata,0 - 3 Years,0,3,1.5,3,1,False
Remote Oracle EPM ARCS Senior Consultant,TALPRO INDIA PRIVATE LIMITED,Bengaluru / Bangalore,5 - 15 Years,5,15,10.0,10,1,False
Hardware Engineer  Job In  MALTA,ADAL IMMIGRATIONS LLP,Unknown,4 - 8 Years,4,8,6.0,4,1,True
Software Engineer Job In  MALTA,ADAL IMMIGRATIONS LLP,Unknown,3 - 8 Years,3,8,5.5,5,1,True
Business Development Manager,TEKPILLAR SERVICES PRIVATE LIMITED,"Mumbai, Pune, Navi Mumbai, Thane",2 - 7 Years,2,7,4.5,5,4,False
Librarian  Job In SINGAPORE,EXOTIC EXPERT SOLUTIONS LLP,Singapore,5 - 10 Years,5,10,7.5,5,1,True
Finance  Manager  Job  In  USA,PRIMEX IMMIGRATION LLP,Unknown,6 - 11 Years,6,11,8.5,5,1,False
Radiologist,Space COnsultant,Other City(s) in Haryana,1 - 6 Years,1,6,3.5,5,1,False
Network  Engineer  Job In LUXEMBOURG,World wide Immigration Service Llp,Unknown,3 - 8 Years,3,8,5.5,5,1,True
"Punching  &  Lining operator Cum Supervisor ,  Loc- Ghana",ExponentJobs,Unknown,5 - 10 Years,5,10,7.5,5,1,False
Final Year Project Internship,Sparks To Ideas,"Ahmedabad, Bhavnagar, Gandhinagar, Junagarh, Rajkot",0 - 1 Years,0,1,0.5,1,5,False
Prompt Engineer - Con - Bangalore - J48237,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,4 - 6 Years,4,6,5.0,2,1,False
Hardware Engineer Job In USA,ADAL IMMIGRATIONS LLP,Unknown,5 - 10 Years,5,10,7.5,5,1,True
UX | UI Designer Job In SINGAPORE,EXOTIC EXPERT SOLUTIONS LLP,Singapore,5 - 10 Years,5,10,7.5,5,1,True
PHP Developer Job In USA,PRIMEX IMMIGRATION LLP,Unknown,4 - 8 Years,4,8,6.0,4,1,True
Sales  Manager  Job In GERMANY,World wide Immigration Service Llp,Germany,3 - 8 Years,3,8,5.5,5,1,True
Senior Graphic Designer - JH - J48350,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,4 - 7 Years,4,7,5.5,3,1,False
DTP Operator,SAPPHIRE INDIA PUBLISHERS PVT. LTD.,Gurgaon,1 - 2 Years,1,2,1.5,1,1,False
Hitachi Storage Administration,LTIMindtree Ltd.,Bengaluru / Bangalore,8 - 12 Years,8,12,10.0,4,1,False
Cobol Developer,Waytogo Consultants Pvt Ltd,Kolkata,3 - 6 Years,3,6,4.5,3,1,False
Senior Oracle FUSION Finance  FUNCTIONAL consultants,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Pune",10 - 15 Years,10,15,12.5,5,5,False
SAP ABAP Consultant,Aadis Jobs,Agra,3 - 8 Years,3,8,5.5,5,1,False
Software Engineer  Job In USA,World wide Immigration Service Llp,Unknown,5 - 10 Years,5,10,7.5,5,1,True
Haryana ( Kalayat Kaithal District ),Space COnsultant,Other City(s) in Haryana,0 - 3 Years,0,3,1.5,3,1,False
MIS Executive | Senior MIS Analyst Job In Australia,CLOUD VISA IMMIGRATION LLP,Australia,3 - 8 Years,3,8,5.5,5,1,True
Electronics Engineer,Sudeep Consultancy,Nasik,3 - 5 Years,3,5,4.0,2,1,False
Software Developer Job in Canada,EXOTIC EXPERT SOLUTIONS LLP,Canada,3 - 7 Years,3,7,5.0,4,1,True
"Spanish Language Instructor , Spanish Language Teacher",SHREE ADISHAKTHI CONSULTANCY,Bengaluru / Bangalore,2 - 5 Years,2,5,3.5,3,1,False
Senior Quality Assurance 3D Artist - J48227,SAMPOORNA CONSULTANTS PVT LTD,"Bengaluru / Bangalore, Chennai",6 - 11 Years,6,11,8.5,5,2,False
.net  API + Azure- ( UK )  - Con- BLR - J48411,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,5 - 6 Years,5,6,5.5,1,1,False
PHP Developer Required In UNITED KINGDOM,PRIMEX IMMIGRATION LLP,Unknown,5 - 10 Years,5,10,7.5,5,1,False
Marketing Manager,Hardicon Limited,Noida/Greater Noida,4 - 5 Years,4,5,4.5,1,1,False
Customer Service Executive,Suresh Gopalan Acharya,Mumbai,2 - 7 Years,2,7,4.5,5,1,False
Purchase  Manager  Job In POLAND,World wide Immigration Service Llp,Unknown,4 - 8 Years,4,8,6.0,4,1,True
Sales  Manager  Job In POLAND,World wide Immigration Service Llp,Unknown,4 - 8 Years,4,8,6.0,4,1,True
GM MEP PROJECTS,Suman kumar,"Chennai, Gurgaon, Pune, Ahmedabad, Bhopal",10 - 15 Years,10,15,12.5,5,5,False
.net Core Developer - J48505,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,1 - 4 Years,1,4,2.5,3,1,False
Backend Sales Support Executive,Waytogo Consultants Pvt Ltd,Bengaluru / Bangalore,0 - 3 Years,0,3,1.5,3,1,False
SEO Executive,Techno Wise,Ahmedabad,1 - 3 Years,1,3,2.0,2,1,False
Sr Python Developer - J48410,SAMPOORNA CONSULTANTS PVT LTD,Chennai,8 - 13 Years,8,13,10.5,5,1,False
Specialist - Package Implementation,LTIMindtree Ltd.,Chennai,5 - 8 Years,5,8,6.5,3,1,False
Costing Engineer,Multilink Management Consultant Pvt Ltd,Abu Dhabi,10 - 15 Years,10,15,12.5,5,1,False
Network  Engineer Job In POLAND,World wide Immigration Service Llp,Unknown,4 - 8 Years,4,8,6.0,4,1,True
Assistant Manager,TORRENT POWER LIMITED,Ahmedabad,10 - 12 Years,10,12,11.0,2,1,False
Finance  Manager  Required In GERMANY,PRIMEX IMMIGRATION LLP,Germany,4 - 8 Years,4,8,6.0,4,1,True
Area Sales Manager,TEKPILLAR SERVICES PRIVATE LIMITED,"Bikaner, Kota",1 - 5 Years,1,5,3.0,4,2,False
OCI Service Reliability Engineer,TALPRO INDIA PRIVATE LIMITED,Bengaluru / Bangalore,5 - 15 Years,5,15,10.0,10,1,False
"""DIGITAL MARKETING EXECUTIVE""",AMIN MIGRATION LLP,Ahmedabad,1 - 5 Years,1,5,3.0,4,1,False
Service Desk Knowledge Manager - J48409,SAMPOORNA CONSULTANTS PVT LTD,Chennai,8 - 12 Years,8,12,10.0,4,1,False
Machine Learning + Python + Azure - AM -BLR - J48114,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,7 - 10 Years,7,10,8.5,3,1,False
Power Platform Lead - J48436,SAMPOORNA CONSULTANTS PVT LTD,Hyderabad/Secunderabad,8 - 10 Years,8,10,9.0,2,1,False
IVR Developer,Advance Consultancy Services,Other City(s) in Saudi Arabia,6 - 11 Years,6,11,8.5,5,1,True
PHP Developer Required In GERMANY,PRIMEX IMMIGRATION LLP,Germany,5 - 10 Years,5,10,7.5,5,1,True
Power Platform -Consultant-BLR - J47539A,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,4 - 7 Years,4,7,5.5,3,1,False
Accountant to work in Andheri East Office,SUDHEENDRA AND COMPANY LLP,Mumbai,2 - 7 Years,2,7,4.5,5,1,False
Snap Logic Developer,SKYWALK VISA IMMIGRATION SERVICES LLP,"Australia, Canada, Singapore",2 - 7 Years,2,7,4.5,5,3,True
"""Enterprise Cloud Architect""",SKYWALK VISA IMMIGRATION SERVICES LLP,"Canada, Singapore, UK",1 - 6 Years,1,6,3.5,5,3,True
Safety Officer,Ample Leap Cognition,Pune,5 - 10 Years,5,10,7.5,5,1,False
"FOUNDRY MANAGER , 8 - 10 Yr , 10 - 12 L , GHAZIABAD",Swastic Enterprises,"Ahmedabad, Delhi/NCR",10 - 12 Years,10,12,11.0,2,2,False
Technical Solution Specialist  Sales Engineer - J48416,SAMPOORNA CONSULTANTS PVT LTD,Pune,7 - 12 Years,7,12,9.5,5,1,False
Graphic Designer - JH - J48349,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,2 - 4 Years,2,4,3.0,2,1,False
Data Scientist,SKYWALK VISA IMMIGRATION SERVICES LLP,"Canada, Germany",2 - 7 Years,2,7,4.5,5,2,True
Oracle EBS Cloud Apps Technical Architect,LTIMindtree Ltd.,"Ahmedabad, Bengaluru / Bangalore, Chennai, Gurgaon, Kolkata",12 - 15 Years,12,15,13.5,3,5,False
SAP PS Consultant,LTIMindtree Ltd.,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Hyderabad/Secunderabad",5 - 10 Years,5,10,7.5,5,5,False
Senior Oracle FUSION SCM  FUNCTIONAL consultants,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Pune",10 - 15 Years,10,15,12.5,5,5,False
Director Business Development,Sarosh Karki,"Amreli, Dharamshala, Jammu, Mysoru / Mysore, Bhopal",10 - 15 Years,10,15,12.5,5,5,False
Tech Risk and Regulatory compliance - J48393,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,4 - 9 Years,4,9,6.5,5,1,False
VueJS Tech Lead,Hucon Solutions India Pvt ltd,"Bengaluru / Bangalore, Pune, Bhubaneshwar",10 - 15 Years,10,15,12.5,5,3,False
Cable jointer,Tawakkal Manpower Services,Other City(s) in Saudi Arabia,0 - 3 Years,0,3,1.5,3,1,True
Hardware Engineer Job  In POLAND,ADAL IMMIGRATIONS LLP,Unknown,5 - 10 Years,5,10,7.5,5,1,False
Network  Engineer Job In MALTA,World wide Immigration Service Llp,Unknown,5 - 10 Years,5,10,7.5,5,1,True
UX | UI Designer Required In  SINGAPORE,EXOTIC EXPERT SOLUTIONS LLP,Singapore,5 - 10 Years,5,10,7.5,5,1,True
Orthopaedic required for agra,Space COnsultant,Other City(s) in Uttar Pradesh,1 - 6 Years,1,6,3.5,5,1,False
"""Automation Test Architect""",LTIMindtree Ltd.,"Hyderabad/Secunderabad, Pune",8 - 12 Years,8,12,10.0,4,2,False
Bank Manage   Job In UAE,ADAL IMMIGRATIONS LLP,Unknown,5 - 10 Years,5,10,7.5,5,1,True
Sales  &  Marketing Engineer,Sudeep Consultancy,"Pune, Other City(s) in Maharashtra",0 - 2 Years,0,2,1.0,2,2,False
"Senior Graphic Designer , Graphic Designer",Suresh Gopalan Acharya,Mumbai,5 - 10 Years,5,10,7.5,5,1,False
Workday People Analytics Developer,LTIMindtree Ltd.,"Bengaluru / Bangalore, Delhi/NCR, Hyderabad/Secunderabad, Mumbai, Pune",5 - 8 Years,5,8,6.5,3,5,False
UX DESIGNER JOB IN SINGAPORE,CLOUD VISA IMMIGRATION LLP,Singapore,3 - 8 Years,3,8,5.5,5,1,True
Data Modelling Engineer with Azure Databricks Exp Redshift,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,5 - 10 Years,5,10,7.5,5,1,False
.net Architect - J48506,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,10 - 15 Years,10,15,12.5,5,1,False
.net Developer - J48514,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,1 - 3 Years,1,3,2.0,2,1,False
Lead Data Engineer - J48412,SAMPOORNA CONSULTANTS PVT LTD,Chennai,8 - 13 Years,8,13,10.5,5,1,False
PHP Developer Hiring For GERMANY,PRIMEX IMMIGRATION LLP,Germany,4 - 8 Years,4,8,6.0,4,1,True
SAP Data Integration,eSkillport HR Services Pvt. Ltd,"Kolkata, Mumbai",8 - 12 Years,8,12,10.0,4,2,False
Openings For Virtual Relationship Manager For Bank - Thane,Hy Fly Consultancy,"Hyderabad/Secunderabad, Mumbai, Pune, Navi Mumbai, Thane",1 - 6 Years,1,6,3.5,5,5,False
Sales Manager Jobs in Gulf,TALENT VAULT LLP,"Australia, Canada, New Zealand, Singapore",4 - 9 Years,4,9,6.5,5,4,True
ServiceNow CSM / ITSM Lead - J48395,SAMPOORNA CONSULTANTS PVT LTD,Chennai,10 - 15 Years,10,15,12.5,5,1,False
Power Platform Consultant - J48437,SAMPOORNA CONSULTANTS PVT LTD,Hyderabad/Secunderabad,4 - 7 Years,4,7,5.5,3,1,False
Site Merchandising Assistant - J47254A,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,5 - 8 Years,5,8,6.5,3,1,False
Website and Digital Marketing Sales Executive,Reliqus,Delhi,0 - 1 Years,0,1,0.5,1,1,False
Network Engineer Job In MALTA,CLOUD VISA IMMIGRATION LLP,"Canada, Singapore",3 - 8 Years,3,8,5.5,5,2,True
Teacher  Job In  SINGAPORE,EXOTIC EXPERT SOLUTIONS LLP,Singapore,4 - 8 Years,4,8,6.0,4,1,True
"Sales Executive , Senior Sales Executive",GLOBAL SOURCES EXHIBITIONS  EVENTS INDIA PRIVATE LIMITED,Delhi,1 - 6 Years,1,6,3.5,5,1,False
DFT Engineers,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Noida/Greater Noida",6 - 11 Years,6,11,8.5,5,5,False
Specialist - Software Engineering,LTIMindtree Ltd.,Bengaluru / Bangalore,8 - 12 Years,8,12,10.0,4,1,False
Oracle EDI developer,LTIMindtree Ltd.,"Ahmedabad, Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Kolkata",5 - 10 Years,5,10,7.5,5,5,False
SAP FSCM Functional consultant,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Pune",8 - 13 Years,8,13,10.5,5,5,False
Senior Network Administrator - J48400,SAMPOORNA CONSULTANTS PVT LTD,Chennai,10 - 15 Years,10,15,12.5,5,1,False
Java Fullstack  ( UI Heavy )  - J48370,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,10 - 13 Years,10,13,11.5,3,1,False
Project Management trainer,Shalom cadd centre,Mumbai,0 - 3 Years,0,3,1.5,3,1,False
Java Fullstack Developer,Hucon Solutions India Pvt ltd,Bengaluru / Bangalore,4 - 8 Years,4,8,6.0,4,1,False
EA - Strategy and Special Projects - J48403,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,5 - 10 Years,5,10,7.5,5,1,False
Finance  &  Accounts manager,Electrobrain modern technologies pvt ltd,"Rajkot, Surat, Surendranagar",5 - 10 Years,5,10,7.5,5,3,False
Lab Technician  Job In USA,World wide Immigration Service Llp,Unknown,5 - 10 Years,5,10,7.5,5,1,True
"International Sales -  , Debt Collection",sharda consultancy Services,"Delhi, Delhi/NCR, Gurgaon",1 - 4 Years,1,4,2.5,3,3,False
Defence channel,LINEUP MANPOWER SOLUTIONS PRIVATE LIMTED,"Bengaluru / Bangalore, Pune, Nasik",0 - 1 Years,0,1,0.5,1,3,False
Psychiatrist,Space COnsultant,Other City(s) in Uttar Pradesh,0 - 3 Years,0,3,1.5,3,1,False
Academic Counselor,Forgebs Technologies Pvt Ltd.,"Kolkata, Dibrugarh, Bhagalpur, Patna, Ranchi",0 - 3 Years,0,3,1.5,3,5,False
ServiceNow CSM / ITSM Developer  ( 115 )  - J48396,SAMPOORNA CONSULTANTS PVT LTD,Chennai,4 - 7 Years,4,7,5.5,3,1,False
PHP Developer Job In  GERMANY,PRIMEX IMMIGRATION LLP,Germany,5 - 10 Years,5,10,7.5,5,1,True
Finance  &  Accounts management,Electrobrain modern technologies pvt ltd,"Mathura, Meerut, Moradabad",5 - 10 Years,5,10,7.5,5,3,False
Safety Advisor Jobs in Canada - Australia - New Zealand - UK,Srv global consultancy Pvt Ltd,"Australia, Canada, Germany, New Zealand",2 - 7 Years,2,7,4.5,5,4,True
Healthcare Manager Hiring For  Germany,CLOUD VISA IMMIGRATION LLP,"Dubai, Canada, Germany",3 - 8 Years,3,8,5.5,5,3,True
SEO Intern,Reliqus,Delhi,0 - 1 Years,0,1,0.5,1,1,False
PS  &  PPM Senior Consultant,eSkillport HR Services Pvt. Ltd,"Kolkata, Mumbai",5 - 9 Years,5,9,7.0,4,2,False
Hardware Engineer,SKYWALK VISA IMMIGRATION SERVICES LLP,"Australia, Canada, Singapore",2 - 7 Years,2,7,4.5,5,3,True
Support Analyst – Finance - J48344,SAMPOORNA CONSULTANTS PVT LTD,Chennai,3 - 5 Years,3,5,4.0,2,1,False
"""Business Development Executive  ( BDE ) """,GLOBAL SOURCES EXHIBITIONS  EVENTS INDIA PRIVATE LIMITED,Delhi,1 - 6 Years,1,6,3.5,5,1,False
Sr DevOps Engineer - J48354,SAMPOORNA CONSULTANTS PVT LTD,Hyderabad/Secunderabad,6 - 10 Years,6,10,8.0,4,1,False
FPGA Prototyping TVC Engineers,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Noida/Greater Noida",6 - 11 Years,6,11,8.5,5,5,False
Java Developer,Electrobrain modern technologies pvt ltd,"Madurai, Nagercoil",3 - 8 Years,3,8,5.5,5,2,False
Hitachi Storage Administration,LTIMindtree Ltd.,"Chennai, Hyderabad/Secunderabad, Kolkata, Mumbai, Pune",8 - 12 Years,8,12,10.0,4,5,False
SAP TRM Lead,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Pune",8 - 13 Years,8,13,10.5,5,5,False
Network Data Admin - L3 - J48388,SAMPOORNA CONSULTANTS PVT LTD,Chennai,6 - 10 Years,6,10,8.0,4,1,False
Full-Stack Developer  ( Back-End )  #93 - J48272,SAMPOORNA CONSULTANTS PVT LTD,Chennai,5 - 8 Years,5,8,6.5,3,1,False
Logistic Manager Job In POLAND,ADAL IMMIGRATIONS LLP,Unknown,5 - 10 Years,5,10,7.5,5,1,True
Dietician  Job In  NEW ZEALAND,World wide Immigration Service Llp,New Zealand,3 - 8 Years,3,8,5.5,5,1,True
Creative Strategist – Copy,Elixir Integrated Brandcomm Private Limited,"Mumbai, Pune",4 - 8 Years,4,8,6.0,4,2,False
Snowflake Developer,Hucon Solutions India Pvt ltd,Bengaluru / Bangalore,4 - 9 Years,4,9,6.5,5,1,False
Finance  &  Accounts manager,Electrobrain modern technologies pvt ltd,"Palanpur, Patan, Porbandar",5 - 10 Years,5,10,7.5,5,3,False
ServiceNow CSM / ITSM Developer - J48397,SAMPOORNA CONSULTANTS PVT LTD,Chennai,4 - 7 Years,4,7,5.5,3,1,False
"Senior Backend Developer , Team Lead Software Engineer , Tech Lead",PREDATORS CONSULTING,"Mumbai, Navi Mumbai",3 - 8 Years,3,8,5.5,5,2,False
Finance  &  Accounts management,Electrobrain modern technologies pvt ltd,"Gorakhpur, Kanpur, Lucknow",5 - 10 Years,5,10,7.5,5,3,False
Pediatrician / Neonatologist,Space COnsultant,Other City(s) in Chhattisgarh,0 - 3 Years,0,3,1.5,3,1,False
SAP Fiori / UI5 Consultant,eSkillport HR Services Pvt. Ltd,"Kolkata, Mumbai",8 - 10 Years,8,10,9.0,2,2,False
UX  /  UI Designer Hiring For GERMANY,CLOUD VISA IMMIGRATION LLP,Germany,3 - 8 Years,3,8,5.5,5,1,True
Senior Cloud Operations Engineer - J48358,SAMPOORNA CONSULTANTS PVT LTD,Chennai,8 - 12 Years,8,12,10.0,4,1,False
Emulation Engineers,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Noida/Greater Noida",6 - 11 Years,6,11,8.5,5,5,False
Java Developer,Electrobrain modern technologies pvt ltd,"Meerut, Moradabad, Muzaffarnagar",3 - 8 Years,3,8,5.5,5,3,False
Oracle WMS Intellinum Consultant,LTIMindtree Ltd.,"Ahmedabad, Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Kolkata",6 - 11 Years,6,11,8.5,5,5,False
SAP APO DP SNP,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Pune",6 - 10 Years,6,10,8.0,4,5,False
Radiologist,Space COnsultant,Other City(s) in Chhattisgarh,1 - 6 Years,1,6,3.5,5,1,False
Finance  &  Accounts manager,Electrobrain modern technologies pvt ltd,"Morbi, Nadiad, Navsari",5 - 10 Years,5,10,7.5,5,3,False
Finance  &  Accounts management,Electrobrain modern technologies pvt ltd,"Bareilly, Faizabad, Ghaziabad",5 - 10 Years,5,10,7.5,5,3,False
Analog Layout Design Engineers,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Noida/Greater Noida",6 - 11 Years,6,11,8.5,5,5,False
Flutter Internship in Ahmedabad,Maxgen Technologies,"Ahmedabad, Bhavnagar, Junagarh, Rajkot, Surat",0 - 1 Years,0,1,0.5,1,5,False
Java Developer,Electrobrain modern technologies pvt ltd,"Kanpur, Lucknow, Mathura",3 - 8 Years,3,8,5.5,5,3,False
Senior ABAP HANA  developers,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Pune",6 - 10 Years,6,10,8.0,4,5,False
Automation Lead,LTIMindtree Ltd.,Chennai,16 - 19 Years,16,19,17.5,3,1,False
.netcore Lead - J48366,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,8 - 12 Years,8,12,10.0,4,1,False
ML Architect,Hucon Solutions India Pvt ltd,Hyderabad/Secunderabad,10 - 15 Years,10,15,12.5,5,1,False
Finance  &  Accounts manager,Electrobrain modern technologies pvt ltd,"Kalol, Kandla, Mehsana",5 - 10 Years,5,10,7.5,5,3,False
Python Automation Engineer - J48392,SAMPOORNA CONSULTANTS PVT LTD,Chennai,6 - 8 Years,6,8,7.0,2,1,False
Finance  &  Accounts management,Electrobrain modern technologies pvt ltd,"Agra, Aligarh, Allahabad",5 - 10 Years,5,10,7.5,5,3,False
Business Development Manager - Agency Channel  ( Life Insurance ),TEKPILLAR SERVICES PRIVATE LIMITED,"Guwahati, Jorhat, Tinsukia, Kolkata",1 - 5 Years,1,5,3.0,4,4,True
IOS Architect - J48376,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,10 - 13 Years,10,13,11.5,3,1,False
Analog Circuit Design Engineers,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Noida/Greater Noida",6 - 11 Years,6,11,8.5,5,5,False
Java Developer,Electrobrain modern technologies pvt ltd,"Dehradun, Haldwani, Haridwar",3 - 8 Years,3,8,5.5,5,3,False
Radiologist,Space COnsultant,Other City(s) in Uttar Pradesh,1 - 6 Years,1,6,3.5,5,1,False
Lead SAP EWM Functional Consultant,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Pune",6 - 10 Years,6,10,8.0,4,5,False
.netcore - J48365,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,4 - 7 Years,4,7,5.5,3,1,False
Salesforce Developer,Hucon Solutions India Pvt ltd,"Bengaluru / Bangalore, Pune, Bhubaneshwar",8 - 10 Years,8,10,9.0,2,3,False
Finance  &  Accounts manager,Electrobrain modern technologies pvt ltd,"Jamnagar, Jetpur, Junagarh",5 - 10 Years,5,10,7.5,5,3,False
Network Architecture - Design and Engineering Lead - J48401,SAMPOORNA CONSULTANTS PVT LTD,Chennai,15 - 20 Years,15,20,17.5,5,1,False
Finance  &  Accounts,Electrobrain modern technologies pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai",5 - 10 Years,5,10,7.5,5,3,False
Global Recertification Lead - J48378,SAMPOORNA CONSULTANTS PVT LTD,Chennai,8 - 12 Years,8,12,10.0,4,1,False
Design Verification Engineers,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Noida/Greater Noida",6 - 11 Years,6,11,8.5,5,5,False
Java Developer,Electrobrain modern technologies pvt ltd,"Asansol, Burdwan, Durgapur",3 - 8 Years,3,8,5.5,5,3,False
Ariba upstream CONSULTANT,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Pune",8 - 12 Years,8,12,10.0,4,5,False
Pediatrician,Space COnsultant,Other City(s) in Rajasthan,0 - 3 Years,0,3,1.5,3,1,False
Data Scientist,Hucon Solutions India Pvt ltd,Bengaluru / Bangalore,8 - 12 Years,8,12,10.0,4,1,False
Finance  &  Accounts manager,Electrobrain modern technologies pvt ltd,"Gir, Godhra, Gondal",5 - 10 Years,5,10,7.5,5,3,False
Lead Network Administrator - J48402,SAMPOORNA CONSULTANTS PVT LTD,Chennai,15 - 20 Years,15,20,17.5,5,1,False
Finance Administrator,Electrobrain modern technologies pvt ltd,"Delhi, Delhi/NCR, Gurgaon, Mumbai, Noida/Greater Noida",5 - 10 Years,5,10,7.5,5,5,False
Physical Design Engineers,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Noida/Greater Noida",6 - 11 Years,6,11,8.5,5,5,False
Java Developer,Electrobrain modern technologies pvt ltd,"Bhiwandi, Bhusawal, Buldhana",3 - 8 Years,3,8,5.5,5,3,True
Sr. SAP BTP Developer,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Pune",6 - 10 Years,6,10,8.0,4,5,False
Finance  &  Accounts manager,Electrobrain modern technologies pvt ltd,"Deesa, Gandhidham, Gandhinagar",5 - 10 Years,5,10,7.5,5,3,False
Raw Material Sourcing Manager,Electrobrain modern technologies pvt ltd,"Ankleshwar, Bharuch, Bhavnagar",8 - 10 Years,8,10,9.0,2,3,False
ASIC / SoC RTL Engineer,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad, Noida/Greater Noida",6 - 11 Years,6,11,8.5,5,5,False
CREATIVE ACCOUNT MANAGER - MA - J48381,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,6 - 10 Years,6,10,8.0,4,1,False
Java Developer,Electrobrain modern technologies pvt ltd,"Akola, Amravati, Aurangabad",3 - 8 Years,3,8,5.5,5,3,False
SAP FICO  Product Costing consultant,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Pune",8 - 12 Years,8,12,10.0,4,5,False
NodeJS FullStack Developer,Hucon Solutions India Pvt ltd,"Bengaluru / Bangalore, Pune, Bhubaneshwar",4 - 9 Years,4,9,6.5,5,3,False
Finance  &  Accounts manager,Electrobrain modern technologies pvt ltd,"Bhuj, Botad, Dahod",5 - 10 Years,5,10,7.5,5,3,False
Java Backend Developer  ( 36795 ) -Sat Drive - J48406,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,4 - 7 Years,4,7,5.5,3,1,False
Android Architect - J48375,SAMPOORNA CONSULTANTS PVT LTD,Bengaluru / Bangalore,10 - 13 Years,10,13,11.5,3,1,False
Java Developer,Electrobrain modern technologies pvt ltd,"Jabalpur, Katni, Ratlam",3 - 8 Years,3,8,5.5,5,3,False
Loftware,Hucon Solutions India Pvt ltd,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Pune",6 - 11 Years,6,11,8.5,5,5,False
SITE RELIABILITY Senior Developer,Hucon Solutions India Pvt ltd,"Bengaluru / Bangalore, Pune, Bhubaneshwar",6 - 10 Years,6,10,8.0,4,3,False
Finance  &  Accounts manager,Electrobrain modern technologies pvt ltd,"Ankleshwar, Bharuch, Bhavnagar",5 - 10 Years,5,10,7.5,5,3,False
Raw Material Sourcing Manager,Electrobrain modern technologies pvt ltd,"Sangareddy, Srikakulam, Tirupati",8 - 10 Years,8,10,9.0,2,3,False
